,Title,ID,Genre ID,Release Date,Release Year,Release Month,Release Day,Poster Path,Primary Genre,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV,Thriller,War,Western
355,American Pie,2105,"[35, 10749]",1999-07-09,1999,7,9,/5P68by2Thn8wHAziyWGEw2O7hco.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
356,Step Brothers,12133,[35],2008-07-25,2008,7,25,/tY2FpgzPVx92JrYveWt4bn3cMyD.jpg,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,Lethal Weapon,941,"[12, 28, 35, 53, 80]",1987-03-06,1987,3,6,/fTq4ThIP3pQTYR9eDepsbDHqdcs.jpg,Adventure,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
358,A Most Wanted Man,157849,[53],2014-07-25,2014,7,25,/6B76Z5Ct758RfKFoFg37skVRiMp.jpg,Thriller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
359,Bambi,3170,"[16, 18, 10751]",1942-08-14,1942,8,14,/wV9e2y4myJ4KMFsyFfWYcUOawyK.jpg,Animation,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
360,Lilo & Stitch,11544,"[16, 10751]",2002-06-21,2002,6,21,/d73UqZWyw3MUMpeaFcENgLZ2kWS.jpg,Animation,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
361,Hancock,8960,"[14, 28]",2008-07-01,2008,7,1,/7DyuV2G0hLEqHeueDfOqhZ2DVut.jpg,Fantasy,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
362,Fantastic Four,9738,"[28, 12, 14, 878]",2005-06-29,2005,6,29,/8HLQLILZLhDQWO6JDpvY6XJLH75.jpg,Action,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
363,Space Jam,2300,"[16, 10751, 35, 878, 12]",1996-11-15,1996,11,15,/6h3FIr5CQFCBV8Xrv7XZLZbIQR0.jpg,Animation,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
364,The Notebook,11036,"[10749, 18]",2004-06-25,2004,6,25,/rNzQyW4f8B8cQeg7Dgj3n6eT5k9.jpg,Romance,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
365,The Day After Tomorrow,435,"[28, 12, 878, 53]",2004-05-26,2004,5,26,/mr1GBm0CXFA2lBKvl4voCYfkfL0.jpg,Action,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
366,Point Break,1089,"[28, 53, 80]",1991-01-31,1991,1,31,/tlbERIghrQ4oofqlbF7H0K0EYnx.jpg,Action,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
